EANCOM,PARTIN,Party Information
EANCOM,PRICAT,Price/Sales Catalogue
EANCOM,PRODAT,Product Data Message
EANCOM,PROINQ,Product Inquiry Message
EANCOM,CNTCND,The Contractual Conditions Message
EANCOM,QUOTES,Quotation
EANCOM,REQOTE,Request for Quotation
EANCOM,ORDCHG,Purchase Order Change Request
EANCOM,ORDERS,Purchase Order
EANCOM,ORDRSP,Purchase Order Response
EANCOM,OSTENQ,Order Status Enquiry
EANCOM,OSTRPT,Order Status Report
EANCOM,DESADV,Despatch Advice
EANCOM,HANMOV,Cargo/Goods Handling and Movement Message
EANCOM,IFCSUM,Forwarding and Consolidation Summary Message
EANCOM,IFTMAN,Arrival Notice Message
EANCOM,IFTMBC,Booking Confirmation Message
EANCOM,IFTMBF,Firm Booking Message
EANCOM,IFTMIN,Transport Instruction
EANCOM,IFTSTA,Transport Status Message
EANCOM,INSDES,Instruction to Despatch
EANCOM,RECADV,Receiving Advice
EANCOM,RETANN,Announcement of Return
EANCOM,RETINS,Instruction for Return
EANCOM,COACSU,Commercial Account Summary
EANCOM,COMDIS,Commercial Dispute Message
EANCOM,INVOIC,Invoice
EANCOM,PAYMUL,Multiple Payment Order
EANCOM,REMADV,Remittance Advice
EANCOM,TAXCON,Tax Control
EANCOM,APERAK,Application Error and Acknowledgement Message
EANCOM,BANSTA,Bank Status Message
EANCOM,CREMUL,Multiple credit advice
EANCOM,DEBMUL,Multiple Debit Advice Message
EANCOM,DELFOR,Delivery Schedule
EANCOM,DIRDEB,Direct Debit
EANCOM,FINCAN,Financial Cancellation Message
EANCOM,FINSTA,Financial Statement
EANCOM,INVRPT,Inventory Report
EANCOM,MSCONS,Metered Services Consumption Report
EANCOM,QALITY,Quality Data Message
EANCOM,SLSFCT,Sales Forecast Report
EANCOM,SLSRPT,Sales Data Report
EANCOM,CONDRA,Drawing Administration Message
EANCOM,GENRAL,General Message
EANCOM,PAYDUC,Payroll Deductions Advice
EANCOM,CONTRL,Syntax and Service Report
EANCOM,AUTACK,Secure Authentication and Acknowledgement Message
EANCOM,KEYMAN,Security Key and Certificate Management Message
